System,Annual Ridership,Vehicles in Peak Weekday,Annual Revenue Miles,Year Founded
Antelope Valley Transit Authority,1113754,72,2846396,1992
Arcadia Transit,23737,6,161751,2016
BurbankBus,145582,12,212160,2004
City of Commerce Transit System,239106,10,386368,1960
Culver City Bus,2267843,44,1364040,1928
DowneyLINK (Downey),56556,7,103313,1994
Foothill Transit,6852419,303,15021372,1988
G Trans (Gardena),1599539,24,1155229,1940
Glendale Bee Line,517073,35,871699,1984
Glendora Shuttle Services,10826,3,44811,2009
Long Beach Transit - Bus,17389283,136,5819512,1963
Long Beach Transit -Water Taxis,34280,4,10221,1998
Los Angeles Department of Transportation (LADOT),13259765,140,9501804,1979
LA Go Bus,1540923,63,4803129,1983
Montebello Bus Lines,2581161,42,1726508,1931
Metro - Bus,197284848,1539,64010580,1958
Metro - Light Rail,30660760,148,13476173,1990
Metro - Subway,25075130,64,6100815,1993
Metrolink (Southern California Regional Rail Authority),3855973,172,10870106,1992
Norwalk Transit,789462,24,1006322,1974
Palos Verdes Transit Authority,120680,2,238414,1992
Pasadena Transit,1053208,24,739633,1994
Beach Cities Transit (Redondo Beach),287901,10,395163,2005
Santa Clarita Transit,1820768,66,2202836,1991
Big Blue Bus (Santa Monica),6312168,124,3921249,1928
Torrance Transit,2096578,48,1520312,1940
